"N","complete_edge_weight","model","weighted_edge_sum","lambda_2","lambda_max","tau_crit","tau_multiplier","tau_used","final_disagreement","max_disagreement","convergence_time","practical_stable_flag","path_length_mean"
"10","1","full_state","45","10","10","0.157079632679","1.5","0.235619449019","0.443296506908","4.54527938131","NaN","0","40.4933663426"
"10","1","neighbor_only","45","10","10","0.157079632679","0.5","0.0785398163397","2.866547925e-09","4.54527938131","4.26","1","4.89470827757"
"10","1","neighbor_only","45","10","10","0.157079632679","0.95","0.149225651046","3.84139389961e-09","4.54527938131","4.66","1","4.95053636082"
"10","1","neighbor_only","45","10","10","0.157079632679","1.1","0.172787595947","4.10083875227e-09","4.54527938131","4.78","1","4.97076387754"
"10","1","neighbor_only","45","10","10","0.157079632679","1.5","0.235619449019","3.84223325156e-09","4.54527938131","5.18","1","5.0483990059"
"10","1.5","full_state","67.5","15","15","0.10471975512","0.5","0.0523598775598","0.00749483217874","4.54527938131","24.28","1","6.76450047107"
"10","1.5","full_state","67.5","15","15","0.10471975512","0.95","0.0994837673637","0.382204079201","4.54527938131","NaN","0","37.0883393398"
"10","1.5","full_state","67.5","15","15","0.10471975512","1.1","0.115191730632","0.370628274493","4.54527938131","NaN","0","38.5825408714"
"10","1.5","full_state","67.5","15","15","0.10471975512","1.5","0.157079632679","0.374496836195","4.54527938131","NaN","0","40.5060799779"
"10","1.5","neighbor_only","67.5","15","15","0.10471975512","0.5","0.0523598775598","2.76147003401e-09","4.54527938131","4.66","1","4.93474607713"
"10","1.5","neighbor_only","67.5","15","15","0.10471975512","0.95","0.0994837673637","3.87423173897e-09","4.54527938131","5.1","1","4.98723236888"
"10","1.5","neighbor_only","67.5","15","15","0.10471975512","1.1","0.115191730632","3.38104882131e-09","4.54527938131","5.3","1","5.01293725181"
"10","1.5","neighbor_only","67.5","15","15","0.10471975512","1.5","0.157079632679","3.84268396866e-09","4.54527938131","5.84","1","5.08872568426"
